Bifidobacterium Medium,
Casein peptone,10.0 g
Yeast extract,5.0 g
Meat extract,5.0 g
Bacto Soytone,5.0 g
Glucose,10.0 g
K2HPO4,2.0 g
MgSO4·7H2O,0.20 g
MnSO4·H2O,0.050 g
Tween 80,1 mL
NaCl,5.0 g
L-Cysteine HCl,0.50 g
0.1% Resazurin (see below),1 mL
Salt solution (see below),40 mL
Na-Lactate,5.0 g
Hemin solution (see below),10 mL
VK1 solution (see below),10 mL
ddH2O,940 mL
