Schaedler Medium,
Casein Enzymatic Hydrolysate,5.6 g
Enzymatic Digest of Soybean Meal,1.0 g
Enzymatic Digest of Animal Tissue,5.0 g
Yeast Extract,5.0 g
NaCl,1.7 g
K2HPO4,0.82 g
Dextrose,5.82 g
Tris (Hydroxymethyl Aminomethane),3.0 g
Hemin,0.010 g
L-Cystine HCl,0.40 g
0.1% Resaruzin (see below),1 mL
ddH2O,1000 mL
