M17 Medium,
Casein peptone,5.0 g
Soya peptone,5.0 g
Meat peptone,5.0 g
Yeast extract,2.5 g
Ascorbic acid,0.50 g
MgSO4·7H2O,0.25 g
Na2-β-glycerolphosphate,9.5 g
Lactose,8.0 g
CaCl2·2H2O,0.1764 g
0.1% Resazurin (see below),1 mL
L-Cysteine HCl,1.0 g
ddH2O,1000 mL
