MCDA Broth,
Bovine brain heart powder,17.5 g
D-glucose,2.0 g
Peptone,10.0 g
NaCl,5.0 g
Na2HPO4,2.5 g
VK,0.001 g
Hemin,0.005 g
L-Cystine HCl,0.50 g
Na-lactate,1.12 g
Na-pyruvate,1.1 g
0.1% Resazurin (see below),1 mL
ddH2O,1000 mL
