EG Medium,
Beef extract,2.4 g
Proteose peptone NO.3 ,10.0 g
Yeast extract,5.0 g
Na2HPO4,4.0 g
Glucose,1.5 g
Soluble starch,0.50 g
L-Cysteine HCl,0.76 g
Horse blood,50 mL
0.1% Resazurin (see below),1 mL
ddH2O,950 mL
